id,organization,country,signed_year,sector
654,Quantum Analytics,Japan,2019,Space Research
655,TechNova,UAE,2013,Agriculture
656,Future Systems,South Korea,2025,Healthcare
657,TechNova,UAE,2016,Cybersecurity
658,DataVision,South Africa,2016,Space Research
659,EduSmart,South Africa,2018,Infrastructure
660,InnoSoft,Spain,2014,Energy
661,DataVision,USA,2022,Cybersecurity
662,Quantum Analytics,Netherlands,2011,Transport
663,Future Systems,Australia,2011,Infrastructure
664,Future Systems,Canada,2018,Technology
665,TechNova,South Korea,2010,Healthcare
666,BioGen Labs,Russia,2018,Cybersecurity
667,National Science Institute,Singapore,2013,Biotechnology
668,TechNova,Brazil,2022,Transport
669,EduSmart,Russia,2013,AI & ML
670,Oceanic Research,UAE,2025,Healthcare
671,AgroFuture,Malaysia,2012,Space Research
672,Global Research Center,Canada,2024,Environment
673,InnoSoft,USA,2011,Infrastructure
674,EduSmart,Netherlands,2019,Energy
675,AeroTech,Spain,2022,Agriculture
676,DataVision,Australia,2010,Energy
677,AeroTech,Singapore,2021,Technology
678,National Science Institute,Brazil,2017,Cybersecurity
679,InnoSoft,China,2011,Education
680,National Science Institute,China,2022,Environment
681,Oceanic Research,USA,2018,Infrastructure
682,EduSmart,Japan,2020,Biotechnology
683,Oceanic Research,Russia,2014,Technology
684,BioGen Labs,Russia,2017,Space Research
685,Green Energy Corp,India,2014,Biotechnology
686,Green Energy Corp,Brazil,2020,Healthcare
687,HealthPlus,South Africa,2014,Agriculture
688,EduSmart,Japan,2016,Healthcare
689,AgroFuture,Japan,2019,Biotechnology
690,DataVision,Netherlands,2014,Education
691,Green Energy Corp,Japan,2015,Education
692,AeroTech,Germany,2013,Cybersecurity
693,Global Research Center,UAE,2014,Space Research
694,DataVision,USA,2020,Transport
695,Oceanic Research,Italy,2023,Environment
696,Future Systems,South Korea,2018,Biotechnology
697,Global Research Center,Canada,2013,Biotechnology
698,Global Research Center,Australia,2010,Energy
699,Skyline Tech,Malaysia,2018,Energy
700,Quantum Analytics,Thailand,2017,Biotechnology
701,Quantum Analytics,India,2017,Space Research
702,National Science Institute,USA,2021,Education
703,BioGen Labs,Spain,2014,Infrastructure
704,InnoSoft,Malaysia,2025,Environment
705,DataVision,Singapore,2015,AI & ML
706,AgroFuture,Russia,2025,AI & ML
707,HealthPlus,Japan,2015,Agriculture
708,EduSmart,India,2011,Environment
709,Green Energy Corp,USA,2018,Education
710,Green Energy Corp,India,2016,Space Research
711,Skyline Tech,Canada,2012,Education
712,Global Research Center,South Korea,2025,Education
713,DataVision,UAE,2024,Space Research
714,Oceanic Research,India,2023,Cybersecurity
715,Green Energy Corp,UK,2022,Transport
716,DataVision,UAE,2022,Biotechnology
717,Quantum Analytics,Thailand,2011,Healthcare
718,InnoSoft,France,2024,AI & ML
719,HealthPlus,UK,2017,Cybersecurity
720,InnoSoft,South Africa,2022,Space Research
721,DataVision,UK,2022,Energy
722,InnoSoft,UK,2016,Space Research
723,Future Systems,South Korea,2022,Environment
724,Oceanic Research,Brazil,2019,Education
725,HealthPlus,Australia,2023,Transport
726,Future Systems,Malaysia,2011,Environment
727,DataVision,Netherlands,2014,Technology
728,HealthPlus,South Korea,2012,Transport
729,DataVision,Netherlands,2013,Cybersecurity
730,Global Research Center,Thailand,2014,AI & ML
731,Green Energy Corp,Italy,2020,AI & ML
732,HealthPlus,USA,2015,Biotechnology
733,HealthPlus,Thailand,2016,Healthcare
734,Oceanic Research,South Korea,2012,Biotechnology
735,Future Systems,UAE,2015,Energy
736,DataVision,France,2012,AI & ML
737,BioGen Labs,South Korea,2021,Infrastructure
738,BioGen Labs,Netherlands,2022,Agriculture
739,DataVision,Netherlands,2015,Cybersecurity
740,Green Energy Corp,South Africa,2022,Transport
741,TechNova,Australia,2020,Energy
742,Quantum Analytics,Japan,2015,Energy
743,AgroFuture,Japan,2015,Space Research
744,Skyline Tech,UK,2023,Infrastructure
745,Future Systems,Brazil,2024,Infrastructure
746,Future Systems,Australia,2013,Education
747,Oceanic Research,Japan,2016,Environment
748,TechNova,Malaysia,2018,Technology
749,TechNova,South Korea,2025,Transport
750,AgroFuture,Spain,2010,Biotechnology
751,Quantum Analytics,Spain,2017,Space Research
752,EduSmart,Thailand,2025,Healthcare
753,HealthPlus,Italy,2024,AI & ML
754,BioGen Labs,Malaysia,2010,Biotechnology
755,EduSmart,South Africa,2018,Biotechnology
756,Quantum Analytics,South Africa,2016,Cybersecurity
757,TechNova,Australia,2014,Transport
758,TechNova,Singapore,2011,Technology
759,Global Research Center,UK,2019,Biotechnology
760,AeroTech,Germany,2011,Cybersecurity
761,BioGen Labs,Italy,2015,AI & ML
762,Global Research Center,Brazil,2015,Agriculture
763,HealthPlus,Thailand,2021,Education
764,Oceanic Research,UK,2012,Space Research
765,Skyline Tech,Brazil,2020,Education
766,AeroTech,Russia,2012,Environment
767,Skyline Tech,Italy,2012,Space Research
768,Future Systems,Spain,2014,Education
769,BioGen Labs,China,2020,Transport
770,InnoSoft,Italy,2016,Healthcare
771,DataVision,Canada,2011,Transport
772,BioGen Labs,Thailand,2012,Transport
773,HealthPlus,Malaysia,2019,Education
774,Green Energy Corp,Malaysia,2020,Energy
775,Future Systems,Netherlands,2021,Agriculture
776,Oceanic Research,Japan,2025,Biotechnology
777,InnoSoft,Spain,2025,Education
778,Skyline Tech,Australia,2017,Education
779,DataVision,Brazil,2016,Technology
780,TechNova,France,2010,Energy
781,HealthPlus,France,2016,Energy
782,Skyline Tech,Malaysia,2023,Space Research
783,Green Energy Corp,UK,2020,Agriculture
784,AeroTech,South Africa,2016,Healthcare
785,TechNova,Canada,2019,Energy
786,Future Systems,Germany,2019,Energy
787,Future Systems,Netherlands,2020,Healthcare
788,Skyline Tech,USA,2013,Cybersecurity
789,National Science Institute,UAE,2020,Cybersecurity
790,Green Energy Corp,Thailand,2010,AI & ML
791,AgroFuture,Australia,2016,Infrastructure
792,AeroTech,UAE,2025,Biotechnology
793,Oceanic Research,Spain,2011,AI & ML
794,National Science Institute,Japan,2025,Education
795,Global Research Center,South Korea,2020,Healthcare
796,HealthPlus,Italy,2011,Healthcare
797,AgroFuture,Netherlands,2019,Energy
798,Quantum Analytics,UAE,2010,Cybersecurity
799,EduSmart,Thailand,2020,Energy
800,Skyline Tech,Singapore,2012,Biotechnology
801,Global Research Center,China,2010,Space Research
802,AeroTech,Russia,2015,Education
803,Quantum Analytics,Malaysia,2022,AI & ML
804,Global Research Center,Malaysia,2013,Cybersecurity
805,AgroFuture,Brazil,2020,Education
806,DataVision,UK,2018,Biotechnology
807,Green Energy Corp,Germany,2025,Cybersecurity
808,Oceanic Research,India,2021,Transport
809,HealthPlus,Brazil,2016,Biotechnology
810,InnoSoft,Brazil,2015,Transport
811,BioGen Labs,Singapore,2011,Education
812,Skyline Tech,Canada,2012,Environment
813,HealthPlus,Netherlands,2010,AI & ML
814,Skyline Tech,Spain,2014,Energy
815,EduSmart,UAE,2025,Agriculture
816,DataVision,Netherlands,2019,Healthcare
817,Skyline Tech,UAE,2014,Agriculture
818,Skyline Tech,France,2014,Infrastructure
819,EduSmart,UK,2024,Space Research
820,Green Energy Corp,Netherlands,2013,Cybersecurity
821,TechNova,Brazil,2011,Space Research
822,National Science Institute,Malaysia,2012,Cybersecurity
823,AeroTech,South Korea,2011,Education
824,BioGen Labs,Netherlands,2019,Technology
825,TechNova,Thailand,2019,Technology
826,National Science Institute,Canada,2020,Space Research
827,EduSmart,Canada,2019,Environment
828,Future Systems,South Africa,2020,Energy
829,Skyline Tech,South Korea,2013,Biotechnology
830,Future Systems,Japan,2015,Biotechnology
831,Future Systems,France,2010,Agriculture
832,Quantum Analytics,South Africa,2013,AI & ML
833,EduSmart,South Africa,2021,Environment
834,InnoSoft,UAE,2018,Transport
835,Global Research Center,Brazil,2017,Environment
836,Global Research Center,Germany,2019,Education
837,Quantum Analytics,UAE,2024,Technology
838,TechNova,Japan,2010,AI & ML
839,HealthPlus,UK,2013,Agriculture
840,Green Energy Corp,UK,2012,Environment
841,Green Energy Corp,Russia,2015,Transport
842,DataVision,Malaysia,2024,Energy
843,Quantum Analytics,Singapore,2019,Transport
844,AeroTech,Canada,2012,AI & ML
845,Oceanic Research,South Korea,2014,Environment
846,BioGen Labs,South Korea,2013,Education
847,HealthPlus,Brazil,2024,AI & ML
848,HealthPlus,India,2017,AI & ML
849,Global Research Center,Malaysia,2018,Transport
850,Oceanic Research,Singapore,2022,Infrastructure
851,Global Research Center,UAE,2020,AI & ML
852,HealthPlus,Spain,2010,Healthcare
853,BioGen Labs,Spain,2013,Cybersecurity
854,AeroTech,Spain,2024,Technology
855,AgroFuture,Australia,2019,Cybersecurity
856,Skyline Tech,Singapore,2014,Biotechnology
857,InnoSoft,France,2022,Healthcare
858,AgroFuture,France,2020,Transport
859,InnoSoft,Germany,2019,Biotechnology
860,InnoSoft,South Korea,2022,AI & ML
861,Quantum Analytics,Italy,2017,Transport
862,Quantum Analytics,India,2015,Cybersecurity
863,HealthPlus,Russia,2012,Transport
864,AeroTech,Canada,2023,Cybersecurity
865,Skyline Tech,Italy,2020,Agriculture
866,InnoSoft,India,2015,Agriculture
867,National Science Institute,Germany,2025,Healthcare
868,BioGen Labs,Thailand,2024,Transport
869,AeroTech,South Africa,2013,Cybersecurity
870,AgroFuture,South Korea,2015,Technology
871,Future Systems,Russia,2012,Technology
872,Quantum Analytics,France,2022,Space Research
873,AeroTech,Spain,2011,Energy
874,BioGen Labs,Canada,2014,Transport
875,Oceanic Research,Thailand,2010,AI & ML
876,Skyline Tech,Japan,2014,Education
877,HealthPlus,South Africa,2019,Education
878,Green Energy Corp,Malaysia,2024,Education
879,EduSmart,Canada,2020,Energy
880,Future Systems,Thailand,2019,Education
881,Oceanic Research,Italy,2021,Healthcare
882,BioGen Labs,Thailand,2010,Energy
883,Quantum Analytics,Netherlands,2022,Biotechnology
884,AgroFuture,Japan,2019,Environment
885,TechNova,Singapore,2011,Infrastructure
886,TechNova,South Africa,2021,Infrastructure
887,BioGen Labs,Brazil,2010,AI & ML
888,EduSmart,Italy,2022,Infrastructure
889,National Science Institute,UAE,2022,Environment
890,Green Energy Corp,Russia,2023,Biotechnology
891,InnoSoft,Canada,2015,Transport
892,HealthPlus,Japan,2016,Biotechnology
893,InnoSoft,Russia,2021,Cybersecurity
894,AgroFuture,Italy,2014,Infrastructure
895,Future Systems,Japan,2014,Healthcare
896,TechNova,Germany,2010,Energy
897,Global Research Center,Spain,2023,Biotechnology
898,Global Research Center,Germany,2014,Environment
899,National Science Institute,Italy,2024,Biotechnology
900,Oceanic Research,Malaysia,2023,Biotechnology
901,Quantum Analytics,Australia,2024,Environment
902,InnoSoft,Italy,2024,Space Research
903,Green Energy Corp,Singapore,2017,Education
904,Global Research Center,Italy,2010,Energy
905,Quantum Analytics,Spain,2017,Cybersecurity
906,DataVision,Netherlands,2018,Transport
907,Green Energy Corp,South Africa,2021,AI & ML
908,TechNova,UK,2025,Agriculture
909,DataVision,Singapore,2013,Cybersecurity
910,Quantum Analytics,Spain,2012,Transport
911,Global Research Center,Netherlands,2018,Transport
912,HealthPlus,Netherlands,2012,Biotechnology
913,InnoSoft,Malaysia,2012,AI & ML
914,EduSmart,Spain,2012,Space Research
915,National Science Institute,South Africa,2019,Agriculture
916,Quantum Analytics,UK,2020,Education
917,InnoSoft,USA,2025,Biotechnology
918,HealthPlus,Netherlands,2025,Infrastructure
919,Quantum Analytics,UAE,2023,Biotechnology
920,AeroTech,Brazil,2019,Biotechnology
921,Global Research Center,UK,2019,AI & ML
922,DataVision,Thailand,2018,Cybersecurity
923,TechNova,Spain,2015,Biotechnology
924,Quantum Analytics,UK,2019,Healthcare
925,Skyline Tech,Malaysia,2010,Technology
926,Future Systems,Spain,2012,Cybersecurity
927,Global Research Center,Netherlands,2012,Agriculture
928,AgroFuture,China,2018,Transport
929,Global Research Center,Malaysia,2018,Agriculture
930,Future Systems,China,2010,Transport
931,DataVision,France,2015,Energy
932,Oceanic Research,Thailand,2014,AI & ML
933,National Science Institute,South Korea,2021,Transport
934,Skyline Tech,Australia,2018,Transport
935,Skyline Tech,India,2025,Transport
936,Global Research Center,Netherlands,2011,Technology
937,AeroTech,Germany,2014,Infrastructure
938,Quantum Analytics,Japan,2025,Infrastructure
939,Skyline Tech,Italy,2022,Space Research
940,EduSmart,South Korea,2015,Energy
941,EduSmart,Thailand,2021,Technology
942,TechNova,China,2013,Healthcare
943,TechNova,Australia,2024,Technology
944,Green Energy Corp,Spain,2019,Transport
945,HealthPlus,South Africa,2017,Energy
946,Green Energy Corp,Russia,2025,Cybersecurity
947,Future Systems,Japan,2023,Biotechnology
948,TechNova,Brazil,2024,Technology
949,Green Energy Corp,UAE,2011,Technology
950,BioGen Labs,South Africa,2021,Environment
951,AgroFuture,Italy,2018,Space Research
952,AeroTech,China,2018,Technology
953,Skyline Tech,France,2018,Education
954,National Science Institute,Thailand,2022,Agriculture
955,HealthPlus,India,2016,AI & ML
956,InnoSoft,UAE,2015,AI & ML
957,AeroTech,South Africa,2010,Environment
958,National Science Institute,USA,2012,Education
959,TechNova,Italy,2013,Cybersecurity
960,InnoSoft,France,2024,Biotechnology
961,AeroTech,India,2019,Agriculture
962,Future Systems,Canada,2011,AI & ML
963,TechNova,Malaysia,2012,AI & ML
964,TechNova,Malaysia,2016,Education
965,Quantum Analytics,France,2013,Space Research
966,BioGen Labs,Malaysia,2014,Healthcare
967,Green Energy Corp,Thailand,2015,Space Research
968,Oceanic Research,France,2015,Biotechnology
969,Future Systems,Brazil,2024,Energy
970,National Science Institute,Germany,2024,Transport
971,Oceanic Research,China,2023,Environment
972,DataVision,UAE,2018,Technology
973,Global Research Center,Germany,2018,Technology
974,Skyline Tech,UK,2022,Healthcare
975,Green Energy Corp,UAE,2011,Agriculture
976,Future Systems,China,2015,AI & ML
977,HealthPlus,Germany,2025,Healthcare
978,Oceanic Research,Canada,2022,Space Research
979,Global Research Center,Spain,2013,Environment
980,Global Research Center,South Africa,2023,Biotechnology
981,EduSmart,Malaysia,2013,Transport
982,Oceanic Research,South Korea,2018,Energy
983,BioGen Labs,UK,2012,Agriculture
984,BioGen Labs,Thailand,2018,Space Research
985,Skyline Tech,South Korea,2010,Agriculture
986,Oceanic Research,Spain,2014,Education
987,National Science Institute,USA,2011,AI & ML
988,National Science Institute,Russia,2018,Education
989,Global Research Center,UAE,2022,Transport
990,Quantum Analytics,USA,2025,Education
991,HealthPlus,Italy,2022,Cybersecurity
992,AgroFuture,Germany,2017,Cybersecurity
993,TechNova,Russia,2025,AI & ML
994,BioGen Labs,Thailand,2021,AI & ML
995,AeroTech,Brazil,2022,Energy
996,TechNova,Germany,2021,Space Research
997,InnoSoft,UAE,2012,AI & ML
998,AgroFuture,South Korea,2019,Education
999,National Science Institute,Canada,2015,Agriculture
1000,InnoSoft,UK,2022,Healthcare
